import time: self [us] | cumulative | imported package
import time:       124 |        124 | winreg
import time:       173 |        173 |   _io
import time:        31 |         31 |   marshal
import time:       181 |        181 |   nt
import time:       564 |        948 | _frozen_importlib_external
import time:       348 |        348 |   time
import time:       204 |        551 | zipimport
import time:        56 |         56 |     _codecs
import time:       854 |        909 |   codecs
import time:      1969 |       1969 |   encodings.aliases
import time:      1388 |       4266 | encodings
import time:       878 |        878 | encodings.utf_8
import time:       568 |        568 | encodings.cp1252
import time:        55 |         55 | _signal
import time:        34 |         34 |     _abc
import time:       181 |        215 |   abc
import time:       155 |        370 | io
import time:        53 |         53 |       _stat
import time:        88 |        140 |     stat
import time:       776 |        776 |     _collections_abc
import time:        63 |         63 |       genericpath
import time:        85 |         85 |       _winapi
import time:       203 |        351 |     ntpath
import time:       403 |       1668 |   os
import time:       229 |        229 |   _sitebuiltins
import time:       597 |        597 |   encodings.utf_8_sig
import time:      1269 |       1269 |   _distutils_hack
import time:       152 |        152 |   sitecustomize
import time:      1864 |       5778 | site
import time:       530 |        530 |         django.utils
import time:       138 |        138 |           _datetime
import time:       388 |        526 |         datetime
import time:       127 |        127 |             itertools
import time:       385 |        385 |             keyword
import time:        72 |         72 |               _operator
import time:       533 |        605 |             operator
import time:       458 |        458 |             reprlib
import time:       686 |        686 |             _collections
import time:      1708 |       3967 |           collections
import time:       184 |        184 |           _functools
import time:       946 |       5096 |         functools
import time:       101 |        101 |           errno
import time:       661 |        661 |             warnings
import time:       524 |        524 |               types
import time:       553 |       1077 |             _weakrefset
import time:      1028 |       2765 |           threading
import time:       824 |        824 |           contextlib
import time:       160 |        160 |           fcntl
import time:        53 |         53 |           msvcrt
import time:      1459 |       5358 |         subprocess
import time:      1636 |       1636 |             enum
import time:        88 |         88 |               _sre
import time:       523 |        523 |                 re._constants
import time:       683 |       1205 |               re._parser
import time:       342 |        342 |               re._casefix
import time:       722 |       2356 |             re._compiler
import time:       436 |        436 |             copyreg
import time:       860 |       5287 |           re
import time:       613 |        613 |               weakref
import time:       447 |       1060 |             copy
import time:       496 |       1555 |           django.utils.functional
import time:       523 |       7365 |         django.utils.regex_helper
import time:       625 |      19498 |       django.utils.version
import time:       756 |      20254 |     django
import time:       399 |      20652 |   django.core
import time:       784 |        784 |     importlib
import time:      1095 |       1095 |       importlib._abc
import time:       355 |       1450 |     importlib.util
import time:       132 |        132 |     importlib.machinery
import time:        62 |         62 |       _typing
import time:      2438 |       2500 |     typing
import time:      1090 |       5954 |   pkgutil
import time:      1208 |       1208 |     gettext
import time:      1322 |       2530 |   argparse
import time:        56 |         56 |       _heapq
import time:       491 |        547 |     heapq
import time:       999 |       1546 |   difflib
import time:      1027 |       1027 |           _ast
import time:      1287 |       2314 |         ast
import time:        57 |         57 |             _opcode
import time:       469 |        469 |             _opcode_metadata
import time:       591 |       1117 |           opcode
import time:      1604 |       2720 |         dis
import time:      1078 |       1078 |         linecache
import time:       736 |        736 |           token
import time:        59 |         59 |           _tokenize
import time:      3805 |       4600 |         tokenize
import time:      2032 |      12742 |       inspect
import time:       397 |        397 |         django.utils.hashable
import time:       900 |       1297 |       django.core.exceptions
import time:       408 |        408 |       django.utils.module_loading
import time:       567 |      15013 |     django.apps.config
import time:       664 |        664 |     django.apps.registry
import time:       433 |      16109 |   django.apps
import time:       998 |        998 |       textwrap
import time:       467 |        467 |       _colorize
import time:       918 |       2383 |     traceback
import time:       149 |        149 |               posix
import time:       115 |        115 |               posix
import time:       169 |        431 |             posixpath
import time:       412 |        843 |           fnmatch
import time:       692 |       1535 |         glob
import time:       724 |       2258 |       pathlib._abc
import time:       176 |        176 |         pwd
import time:       119 |        119 |         grp
import time:       846 |       1140 |       pathlib._local
import time:       454 |       3852 |     pathlib
import time:       639 |        639 |     django.conf.global_settings
import time:       603 |       7475 |   django.conf
import time:       973 |        973 |       django.core.checks.messages
import time:       552 |        552 |         django.utils.inspect
import time:       671 |       1223 |       django.core.checks.registry
import time:       779 |        779 |       django.core.checks.async_checks
import time:       503 |        503 |                       concurrent
import time:        54 |         54 |                             _string
import time:       854 |        908 |                           string
import time:        45 |         45 |                           atexit
import time:      1964 |       2916 |                         logging
import time:       845 |       3760 |                       concurrent.futures._base
import time:       540 |       4802 |                     concurrent.futures
import time:      1957 |       1957 |                       _socket
import time:       160 |        160 |                         math
import time:      1268 |       1268 |                         select
import time:      1495 |       2922 |                       selectors
import time:      1502 |       6380 |                     socket
import time:      5137 |       5137 |                       _ssl
import time:        89 |         89 |                           _struct
import time:       458 |        546 |                         struct
import time:        58 |         58 |                         binascii
import time:       957 |       1561 |                       base64
import time:      3029 |       9726 |                     ssl
import time:       679 |        679 |                     asyncio.constants
import time:       432 |        432 |                     asyncio.coroutines
import time:        61 |         61 |                         _contextvars
import time:       498 |        558 |                       contextvars
import time:      1196 |       1196 |                       signal
import time:      2265 |       2265 |                       asyncio.format_helpers
import time:       688 |        688 |                         asyncio.base_futures
import time:       525 |        525 |                         asyncio.exceptions
import time:       416 |        416 |                         asyncio.base_tasks
import time:      1395 |       3022 |                       _asyncio
import time:      1020 |       8059 |                     asyncio.events
